station_id,n_pairs,bias,rmse,mae,correlation,obs_mean,model_mean,obs_std,model_std,std_ratio,synnr,name,lon,lat,alt
11204,9143.0,0.22189546271341282,1.5937388613982504,1.2270576026285767,0.21206752516630376,1.4934485398665645,1.7153440025799773,1.4694816454092527,0.9662303583563752,0.6575314236655734,11204,LIENZ,12.806389,46.825554,661.0
11216,9097.0,-1.3743077205434462,2.2930887438323317,1.7646143206045797,0.5342585806030627,3.2121028910629876,1.8377951705195414,2.1702936448711285,1.0978912778549146,0.5058722262996384,11216,KANZELHOEHE,13.901944,46.677223,1520.0
11220,9142.0,-0.1959059458411374,1.1799243565472273,0.8563858894528578,0.6713159767341036,1.8354080070006562,1.6395020611595188,1.521100349431372,1.308925109631953,0.8605120037749411,11220,NEUMARKT,14.424722,47.069721,869.0
11229,9141.0,0.6890025433255816,1.2631589316956058,0.8804712584201063,0.6050242821417938,0.9432337818619405,1.6322363251875225,0.8686277499420487,1.3271174720173045,1.5278322297507123,11229,ST.ANDRAE_LAVANTTAL,14.828054,46.764168,403.0
11234,9142.0,0.28376600557819637,0.9000748079466518,0.6267255447787814,0.5015916614270881,0.8772150514110698,1.1609810569892662,0.7762699558297239,0.9172207851598321,1.1815745003031213,11234,BAD_EISENKAPPEL,14.593333,46.490555,623.0
11237,8939.0,-0.33077798876528,1.0579575540001405,0.782319201847899,0.519413187281607,1.462277659693478,1.1314996709281981,1.0456126155993473,1.0030151758896984,0.9592607825554668,11237,ST.VEIT_GLAN,14.385555,46.739166,463.0
11247,9141.0,0.3504179545574582,1.1365691281771682,0.8615813025058102,0.4931901789359685,1.3947598730992232,1.7451778276566814,0.9724258161055908,1.1529348067297116,1.1856275179396516,11247,GLEISDORF,15.708056,47.115555,377.0
11255,9143.0,0.1360129560489278,0.8505799161093275,0.5876919965328488,0.4364780014923444,0.8746253964781799,1.0106383525271079,0.8182160679485385,0.7609319516751046,0.9299890108280827,11255,KOETSCHACH-MAUTHEN,12.997222,46.677223,722.0
11262,9141.0,-0.2435221901758666,1.3589472478477589,1.007276928578069,0.5231316891235587,1.7856580242861833,1.5421358341103166,1.5502186825695787,1.0157282273398514,0.6552160922588173,11262,OBERVELLACH,13.194444,46.935276,688.0
11263,9144.0,0.2944456432092925,1.1622402500774196,0.8974930018144199,0.3457988971043721,1.1514435695538057,1.4458892127630982,1.0588987239264267,0.8923933401627302,0.842756082332133,11263,WEISSENSEE-GATSCHACH,13.285833,46.718609,949.0
11266,9140.0,-0.169687704846051,1.5245386399177308,1.163832630408557,0.4394760983323918,2.1686980306345736,1.9990103257885223,1.5987198963745823,1.18547023292599,0.7415121533260963,11266,ACHENKIRCH_CAMPINGPLATZ,11.706667,47.499443,931.0
11272,9100.0,0.31375112806436617,0.9123350971046124,0.6774036447530675,0.43012013297199286,0.9673076923076923,1.2810588203720585,0.7936038288677643,0.8110522551848691,1.0219863182137094,11272,SPITTAL_DRAU,13.487222,46.790554,542.0
11275,9143.0,-0.9284629925867489,1.5595374696693274,1.2048539244337286,0.3635833139114926,2.1636115060702172,1.2351485134834688,1.3329609196474592,0.6525916959993942,0.4895805168631585,11275,ARRIACH,13.8525,46.727776,890.0
11285,9144.0,0.19030325223063546,0.9595850921215199,0.7237832728007438,0.4801898259445672,1.1422025371828521,1.3325057894134875,0.943370525551865,0.9000388615460081,0.9540671848100107,11285,DEUTSCHLANDSBERG,15.226944,46.821667,354.0
11290,9060.0,0.17708571297260492,1.0793691694243253,0.7673529211257607,0.6140491795077375,1.5793046357615894,1.7563903487341943,1.0255849361612805,1.3214612094061216,1.2884951434176606,11290,GRAZ-UNIVERSITAET,15.448889,47.077778,367.0
11309,9144.0,-0.15502955747584138,1.1682999109930083,0.825133598757515,0.4943765952534726,1.5538057742782152,1.3987762168023739,1.237554295452276,1.0403864280828616,0.8406794206169698,11309,HAIMING,10.889444,47.259724,659.0
11310,9098.0,0.7430119770914287,1.8303011568588896,1.3390410919017475,0.5116696960811052,1.910035172565399,2.6530471496568278,1.41686733908923,1.8721390306676304,1.3213227371526903,11310,ISCHGL-IDALPE,10.317222,46.982498,2327.0
11316,9136.0,0.8256081898318728,2.443113872650377,1.6786945855207072,0.3912449786855465,1.9788091068301223,2.8044172966619954,1.6324954253603576,2.3794181614601064,1.457534351702623,11316,PITZTALER_GLETSCHER,10.879166,46.926945,2864.0
11317,9142.0,0.8632041660958366,1.5810683558173593,1.285464520972883,0.2241327640181454,1.0033034346970027,1.8665076007928396,1.0814358126063655,1.044820790667737,0.9661422143489193,11317,ST.LEONHARD_PITZTAL,10.865556,47.027222,1454.0
11324,9142.0,-0.21004541943579574,1.3098580048127224,0.9870087630158033,0.1504961229761359,1.6187486326843141,1.4087032132485184,1.1385849471808542,0.80743040875778,0.7091525412811617,11324,NEUSTIFT_MILDERS,11.291944,47.102779,1007.0
11340,9144.0,-2.1401365562546624,3.1964521892220144,2.3587436311556416,0.4692848394027939,3.9049321959755026,1.7647956397208406,2.675808386326831,1.0233479664718126,0.3824444125749212,11340,SCHMITTENHOEHE,12.738055,47.328609,1956.0
11351,9141.0,0.5159680236296004,1.2227932213640258,0.9581297861028879,0.4702058703477375,1.3431572038070234,1.859125227436624,0.9866976789849405,1.1500111836594198,1.1655152415504686,11351,RAMSAU_AM_DACHSTEIN,13.634167,47.425278,1207.0
11361,8972.0,0.3421633210089959,1.0579383902599742,0.7629126810973735,0.39229089159330643,0.9536335265269728,1.2957968475359687,0.7911748198238613,0.9977790402867772,1.2611359907901418,11361,BAD_ISCHL,13.647222,47.706112,507.0
11362,9144.0,-0.8706348531801874,1.5347005996581002,1.1754037773678052,0.7266585701394489,2.4729877515310585,1.6023528983508712,1.83807689757251,1.2832454435316145,0.6981456789029644,11362,KALWANG,14.759722,47.421387,744.0
11367,9143.0,-0.011304226151708181,1.035470255360307,0.7999236296841585,0.6455087915016745,2.4564038061905284,2.44509958003882,1.1751055605970726,1.2748569484613719,1.0848871720202018,11367,BAERNKOPF,15.002778,48.391109,969.0
11377,9144.0,0.5236877129456372,1.0396823350205122,0.7134508843982653,0.496334957887656,0.741065179352581,1.264752892298218,0.6515049225969823,1.0210727603002037,1.5672525638487527,11377,OBERWOELZ,14.286666,47.201946,842.0
11379,9140.0,1.4976975435784792,1.9608328386719076,1.5812950786723217,0.6965255199559859,1.525754923413567,3.0234524669920457,1.124215130591089,1.7582709445212474,1.5639986481918144,11379,WIESELBURG,15.146667,48.12722,259.0
11391,9114.0,0.6224361070633484,1.248109096461038,0.9714901375203561,0.7709068559309898,1.934770682466535,2.5572067895298836,1.643003772616468,1.5407762656075499,0.9377801142561458,11391,KLAUSEN-LEOPOLDSDORF,16.001667,48.088612,389.0
11399,9142.0,0.10958458303498951,0.8479741484004761,0.6185035746455766,0.6068115430853217,1.1236490921023847,1.233233675137374,0.9847839885369272,0.9047454874265525,0.918724814739031,11399,TAMSWEG,13.808333,47.133057,1025.0
